author_id,cluster
5123194A3D6B032,6
5123F0890AADCBF,5
5125D8E6726DAC8,30
51269DEE32B415F,53
5127D261106C442,51
512BBA956413519,29
512DB076A464E83,35
512F7BF0E2EBA47,12
5156B866BBE80A6,56
51308B392520A56,49
513446EC9D3BEA1,53
513BB57DFCF5E7E,6
513DBC68D97612D,30
513E4BCB509C181,37
51425F72EA271CC,7
5143AEE08A5537F,11
514AC0F6E1EAA03,44
514B878422FB28D,42
514CF2C2017BDD2,58
514FE4FB09DBD14,24
51561454CAF6AF9,2
51566132D41E035,0
509EF6FCB8CDF99,6
509DEF7CFBE55C1,32
519D974363A7BE2,12
509C3AE26EAF265,18
4FEA4A397F87239,6
4FF1E089924903C,43
4FF48853E394679,59
4FF52320AD589C7,46
4FF6FF24E7C524B,56
4FF76E8AF71FA35,9
4FF7CDF94307026,43
4FFA2229D1BB263,30
4FFBB80E62B56A9,43
4FFEF2B7442792C,34
4FFF633FC95139D,51
5000E38847E3746,42
5001AA1B927AD8E,30
5003DC36DDE5672,5
500606FF39FA7DF,17
5009E6D8E7ACD02,14
500A351C932D2EB,2
500B32D4EACA5B6,14
500B7321AB1AA9F,23
500CE9DDF6D02C2,2
500DBB38084BC80,57
501127C2ABCE600,41
501215094F3E4BE,37
50173880DE27892,16
501D0BC90F533D8,6
501E5B42300D5BE,3
501F16B58843520,17
501F76AB695C4AA,29
5021B408FB640EB,6
4FE8F1ED1E4B8F0,59
4FE8081B0B9241F,11
4FE7AF8E0A015E7,44
4FD18ED7A461C3E,46
4FBA6A4A92C3E13,48
4FBC41A852C9A04,6
4FBCDC64B7226EF,57
4FBF89B705385BC,5
4FC068456CD4D6C,45
4FC0D31E370582C,28
4FC12ECA07A487B,31
4FC8C36DB143353,31
4FCA0CC5C5003FF,28
4FCB7D155B680B8,59
4FCBC1EA8C8FBCE,45
4FCBD92FFF57FBB,3
4FD028E7CA8900F,45
4FD1924280AEF9A,12
4FE526AB5FA066A,35
4FD244864ADA1CF,10
4FD5D86773DD2E3,6
4FD682A271270B3,55
4FD73B54B3C363F,27
4FD836954ED66E5,29
4FD8B5B28D8625C,43
4FD9001CA8CF2E1,35
4FD99F2ED4FF33C,48
4FDCCD09A0B6094,49
4FE05BDDC197AE2,21
4FE20CF91EA3841,42
4FE433DEDDE17C9,37
4FE4BA9D8BE6013,36
5023562B9531CE8,52
50243656D894E4E,3
5026B1F9D4F1380,39
507F552C0D7923A,15
506857A306F4B49,55
506AA332E717A80,28
506B284C075A375,7
506FA9D7C74527D,45
5074503941145BA,31
5075ECD35C8A6BA,12
507749BDCBA52BE,30
5077ABD5D95FC29,19
5079857B74F58C4,59
507A76A2BE0F67D,11
507AC205F59954F,10
507B8AB0A3DC78C,47
507C234CF5EED8C,30
5080DF2C0639C5C,52
505C7E916806598,47
5082F60543FEF66,38
50838E4A466DFB4,31
5086671FAD8EC74,53
508749C7CD8DF41,53
5088AC076E570AA,3
508FECF0FDD16F5,3
5090FCC3280B24B,9
5091DCA0871E886,22
5093546B2A530E6,59
5093D4C5971D02F,11
50951F7F932F054,26
50958BA297CEF7D,57
50981ED2A2187A3,53
50607A600739417,39
505A390515E81AE,13
502800C84CA9B39,21
503C21C1C5F2FA9,22
502B4E36DB0D3AC,5
502B6EB5AD50156,22
502D6C62EB12670,12
502FBFBF4D857C6,39
502FC5F8441741A,8
5030C3358A192B7,55
5031A81FD985BA5,5
503640D62336D94,1
50367E81FBA5C79,45
5038E527DCE711C,27
50394E7D0A4943F,45
503A1AD086E9BC0,3
503A41908CBD64D,9
503DFE5F99473A6,20
5058A530E64BA60,30
50400BCDCCCC553,14
504225FBD738C78,5
5042FA167821E14,29
504329AFDFA5534,2
504C71417E80002,16
504DFD16D66F85F,29
50529F6548E5A2C,26
5052EC6A713279D,21
5052FE8F554E24A,6
5053C92068CE331,56
5054A92372CF6AF,18
50552B81FCDD9D8,53
5057231F65BA167,6
519A37305538FDF,29
519ECC425B5F484,0
5393B88DB8ABDD1,39
529DB470E3BB206,29
52E027B5B56255A,7
52E54DD36CCAC68,39
52E739A01C0B429,35
52E964AE8330DF3,4
52EAECAFBD96C67,17
52F0527C4A02A72,15
52F0DB624E4F5EB,17
52F31DE67F656DA,37
52F3DA73754D7FB,28
52F5C95F18A1E4E,16
52FAC3D27B4D56D,12
52FCA242A6D3EA7,14
52FD13408465425,29
52FF573DC7AD8F4,21
53010E97A43DE18,15
53028CE74D22F39,21
530357927DD892A,53
53065B489CC8823,30
5309EA74BC1EF83,31
530A1EC41C9C78C,23
530AE519EDDAED8,40
530B32C707BC6DA,6
530DF4872E97A70,56
530F00E7BC86016,18
531285985732E61,14
5312C62F3B25998,1
53130C49706457A,14
531327C21FFF1EE,56
53135204270FDC1,0
52DF86E8843AF81,40
52DCF135E9AFCA8,15
52DC26BEE033301,23
52BCCE7CCD319A8,14
529FCF01BCE4B10,10
52A02B097F9278F,40
52A1D6BE0E778B5,57
52A44FD2A82D686,13
52A452E84D470AE,2
52A86C6646FB7D3,29
52AF1B8E025668F,28
52B13B3E8B54DA6,38
52B276704A65036,52
52B458E778CBC21,49
52B55D5A2D147BF,31
52B853CEDBBE70F,45
52BA06A3952DB97,29
52BEC9D06889061,29
52DB95A92223DBA,41
52BFE7B8C518C5D,21
52C0F3A563AC39C,31
52C27AEF3FF3924,52
52C2C5D32E48235,5
52C51DDF6B135F3,50
52C577B1E6AE802,42
52C904D5EC37886,17
52CFE2FE4246815,53
52D0F70F25FDF4B,55
52D162236B59B45,44
52D165E5A449C54,30
52D538E07810B8F,3
52D8B928E4F9E95,52
5315C60E0DB511F,48
5317ACFE79CE37B,21
531822F4A72A4DA,7
5370E0DF3CC5D24,3
53586BEF9DFC23A,39
5358DA1D5F143C6,34
5358F824E57383D,51
5359C5322A12EBB,12
535A87D1347E106,29
535B1EE076EBB39,57
535F73AB9E95828,31
536092DF1C176A6,18
5361D257659CE2B,3
53620B03FFAABA5,6
5367788DFB9816C,22
536DCB6A78EF54C,11
536E6991FA60F83,2
5374434DEA262A0,10
53575C322EA3843,23
5374F36167565BC,47
53753B8F4891460,6
5375D18071C23AB,46
53765B3DE4570F1,57
537762B92187A6F,5
5378BAE519BC6EF,14
537A39955BC5832,6
537CC6D97A88DA1,18
538148D787103B4,29
5386FBF96866554,42
538A03CD9B7000B,27
538B8C45B88A034,46
538D9AEC54E7B06,29
53584888CD7AC8A,31
53570556074AC2F,2
5318C8338ABF800,1
53328F06EAD3589,20
5318EF374CC6834,29
531B9AF18A9EF0C,51
531E191B88F6AEC,25
531F8466970B457,29
531F8D22275EFDB,17
531FF873F4FB617,3
532307CE81C3284,41
53246F65EB9DCC1,6
5327B0A0AD7E87A,30
532911981DB4A87,27
532C768B4A502FF,29
532DF4003C2B59B,29
5331749802ECE24,37
533703C4C050B26,30
5352131F76C237B,5
53376A354AD63EB,19
533D9FD1675477F,1
533E051FC4C6030,42
533F2E68C299F3F,10
533FC6CE3070293,45
5340E204CC38D94,53
534381139961751,29
5343C0BBD7D6712,48
53484ED9BFC52FB,2
5348B4A1D64944B,6
534A9837DD7A6D5,13
534D4EF424FC281,54
534E37709252EA3,3
529DDAB79A38C13,29
529C5B07E0D2EDB,8
51A3DA9E853FC8A,34
529830F5FF4F6DB,54
51EFCEA4F24880D,18
51F1441C8BE4C82,35
51F1EDC440EB706,10
51F3E567B7CE256,48
51F7A11CD187DC8,14
51F8D5E0AC89E6E,14
51FBA8C402BAB5E,30
51FCD70F947DAE2,11
51FCF5F0C125D61,58
51FE79BB686724E,47
52000D9DD1B9C56,2
5200F9C2E04F70D,15
520191BD293360F,14
5201B60EBEDEB37,21
5203AC0627D4BB6,15
52056A838278E06,15
52067413250E36F,29
520B0C7FC88B9DE,1
520B796211D7A52,52
520DAF2D13AFD4B,37
521281288115EAE,58
5212F8F308B6FC2,43
52135EF332B5341,29
52146AD5AEB4373,29
5215D234EDFF6E5,3
521C2E7B77F0F18,34
521DD071E95DCB1,2
521EF5C35006F0D,3
52200942D869FA8,57
51EF919E5D427AD,19
51EE8A499025133,0
51EAEF9B7AD7FD7,1
51BFC3A103081B3,2
51A4A9FF71C8F5E,33
51A6295361391B9,42
51A6FFEB6C96694,14
51AA245A3C63F3B,30
51AEC0F2F0C9F25,6
51B08DA70007380,43
51B2738A090CD01,7
51B487CA2D2914F,36
51B56752F652F38,26
51B698A2BBA6C94,19
51B9A3DD31C1844,2
51BC04F24ED5C48,46
51BC8532C3087DF,6
51C06CFD875A44E,12
51E8A89CD267D7A,45
51C0B23E46E34C2,1
51C2BFF51CE4838,48
51C3788C3C425D1,20
51C842BDACE2DA9,33
51C94D4BF54268C,25
51D315144AB45A0,12
51D75F6DBD8F8F4,26
51D8648D65B5FB3,55
51DDC950010451C,2
51DE12721B80200,19
51DE73D464AA550,8
51E141A35ED1810,49
51E70CBC9346E1A,43
5220121FAF9C37E,29
5224143D617AF8D,32
522706D7B069462,59
527D6D3C504A213,46
5265E2937F83C03,44
5266D823D687615,43
526A7D8EC2C7550,11
526B10988B4C574,35
526FABC53664FB7,7
527376D473A23ED,31
52755B49D8AAA92,46
5275908B331D455,49
52784D62D50711E,4
5279B4ECCA15D76,3
527AFAB4519621F,58
527C467B3AD394F,37
527D61C54D3324F,17
52827406C0BB5FF,37
526344220C77C24,24
528312D7526511B,31
52888CE3410C453,6
528AAFB5C13C586,37
528CE047AE2C735,6
528D7F62DE19357,23
528F47279863FB4,41
52928823313095A,6
529462B3A381631,45
5294D2776D93FA3,6
5295976080BAF3A,11
5295A9E4B16314A,26
5296FEB085AA6EE,49
52982945C582D65,27
5265A534F9492B2,53
525D49EB5A07B77,46
522763752091B2E,26
523F8BE935896EA,21
522933B3DAB2FD5,3
522AA3E43EFA60F,37
522D12603C23FE7,17
522E269FD1A1875,10
52303E6B40FC5EB,34
5230E7EB911200A,31
52317BBAD748FDA,3
52351E84A485E2D,57
5235FF4BAFC1B28,6
5236168EE1BB9FD,15
5239172FCC91BBF,46
523AC1207E4D9AA,11
523F19B05AE464B,12
5242D6032CE93DB,46
525C6EE663B575C,6
52460BDB4CC1187,7
5247089F0F70354,48
5249734F288E0AC,42
524BB19423A7816,18
524D081C3CEF91F,55
524D7412D722026,17
524FE3B05770CCE,39
525046364CD0CD2,43
5250CCE1D122394,45
525209A15178355,10
5258126A72FEB40,58
525852C1C65ED44,51
5259813A4946404,20
576F12EE0D4D9BA,49
577E2950031976F,24
5FB65A235D3B2C0,20
5D2293327AF3BA4,51
5CD480FDB8474CD,11
5CD60EDB993A760,3
5CD7B49D707777A,55
5CDF8C3A32B938A,53
5CE2D416D57D817,49
5CE4B09564FAFEC,21
5CE5483716E41BE,2
5CE7B41D524F71F,14
5CF3048659458C4,34
5CF49D68CB7D5F0,31
5CF5B0AF3432D9B,3
5CF60410EB89FBC,31
5CFC965C8D252B1,43
5D00FCBE7E5BF76,46
5D02D2EB30229AF,29
5D04C1742E6C3C3,10
5D068BECC6FC3E0,31
5D098371984C77E,58
5D0A9750FC56299,43
5D0B111D58756F4,48
5D0BED01EAFD186,14
5D0CCC39CC3F63F,53
5D0CF6D3088783B,29
5D1314602869AF4,51
5D145F23E8D8219,7
5D195881D2340AA,57
5D1988A5C5A13FC,32
5D19A9772786EE5,29
5D1D987F933D042,4
5CD1E9D1D6A083D,24
5CD19805BF2E977,34
5CCA2292C15F138,46
5CAA2149E9C0F60,10
5C8DC050048CA44,51
5C8ED1B8FB38C2F,1
5C90C520C5E9940,55
5C91048D56A1415,6
5C92C5886B41F0A,3
5C93DBE8B48FB72,30
5C946C6CE32C52A,29
5C9538F40C2D869,37
5C973A413827E92,43
5C99C9E9B9CC73D,26
5C9B8C5EDF57F85,2
5CA78900FF95717,42
5CA8AA71022B921,10
5CAA62F6F51A7BA,40
5CC640BB9263F61,2
5CACA2A9E1FB5E3,8
5CAD29790E7EB63,59
5CAD3954CD2C62F,16
